Round,Player A,Player B,Winner,Participant A score,Participant B score
R128,C. Alcaraz [1],bye,C. Alcaraz [1],W/O,
R128,T. Atmane,G. Dimitrov,G. Dimitrov,4 7 4,6 5 6
R128,J. Cerundolo,B. van de Zandschulp,J. Cerundolo,7 6 6,6 7 3
R128,bye,A. Rinderknech [26],A. Rinderknech [26],,W/O
R128,V. Vacherot [24],bye,V. Vacherot [24],W/O,
R128,N. Borges,E. Nava,N. Borges,7 7,6 5
R128,A. Shevchenko,S. Shimabukuro [Q],A. Shevchenko,6 3 6,4 6 2
R128,bye,C. Ruud [13],C. Ruud [13],,W/O
R128,A. Bublik [10],bye,A. Bublik [10],W/O,
R128,M. Zheng [WC],V. Kopriva [LL],V. Kopriva [LL],6 5,7 7
R128,F. Maestrelli [Q],R. Hijikata [Q],R. Hijikata [Q],6 4,7 6
R128,bye,L. Darderi [20],L. Darderi [20],,W/O
R128,C. Norrie [27],bye,C. Norrie [27],W/O,
R128,M. Arnaldi,M. McDonald [Q],M. McDonald [Q],0 1,6 6
R128,S. Korda,F. Comesana,S. Korda,7 6,5 0
R128,bye,A. de Minaur [6],A. de Minaur [6],,W/O
R128,N. Djokovic [3],bye,N. Djokovic [3],W/O,
R128,K. Majchrzak,G. Mpetshi Perricard,K. Majchrzak,6 1 7,3 6 5
R128,H. Hurkacz,A. Kovacevic,A. Kovacevic,6 6,7 7
R128,bye,C. Moutet [31],C. Moutet [31],,W/O
R128,F. Cerundolo [19],bye,F. Cerundolo [19],W/O,
R128,V. Royer,B. Bonzi [Q],B. Bonzi [Q],4 3,6 6
R128,F. Marozsan,R. Bautista Agut,R. Bautista Agut,4 7 4,6 6 6
R128,bye,J. Draper [14],J. Draper [14],,W/O
R128,D. Medvedev [11],bye,D. Medvedev [11],W/O,
R128,A. Tabilo,R. Jodar [WC],A. Tabilo,6 6,1 2
R128,C. Tseng [Q],S. Baez,S. Baez,3 2,6 6
R128,bye,J. Lehecka [22],J. Lehecka [22],,W/O
R128,U. Humbert [32],bye,U. Humbert [32],W/O,
R128,D. Merida [Q],A. Michelsen,A. Michelsen,3 4,6 6
R128,J. Fearnley,D. Dzumhur,J. Fearnley,6 6,3 3
R128,bye,T. Fritz [7],T. Fritz [7],,W/O
R128,L. Musetti [5],bye,L. Musetti [5],W/O,
R128,M. Fucsovics,C. O'Connell [Q],M. Fucsovics,7 6,5 3
R128,D. Prizmic [Q],T. Schoolkate [Q],D. Prizmic [Q],7 3 7,6 6 5
R128,bye,A. Fils [30],A. Fils [30],,W/O
R128,A. Rublev [17],bye,A. Rublev [17],W/O,
R128,M. Bellucci,G. Diallo,G. Diallo,6 4,7 6
R128,G. Monfils [WC],A. Galarneau [Q],G. Monfils [WC],6 6,3 4
R128,bye,F. Auger-Aliassime [9],F. Auger-Aliassime [9],,W/O
R128,F. Cobolli [15],bye,F. Cobolli [15],W/O,
R128,D. Altmaier,M. Kecmanovic,M. Kecmanovic,3 0,6 1
R128,J. Brooksby,A. Popyrin,J. Brooksby,6 6,3 4
R128,bye,F. Tiafoe [21],F. Tiafoe [21],,W/O
R128,B. Nakashima [28],bye,B. Nakashima [28],W/O,
R128,C. Ugo Carabelli,M. Damm [WC],C. Ugo Carabelli,7 6,6 3
R128,M. Berrettini,A. Mannarino,M. Berrettini,4 7 7,6 5 5
R128,bye,A. Zverev [4],A. Zverev [4],,W/O
R128,B. Shelton [8],bye,B. Shelton [8],W/O,
R128,R. Opelka,E. Quinn,R. Opelka,7 7,5 6
R128,Q. Halys,A. Walton,A. Walton,3 3,6 6
R128,bye,L. Tien [25],L. Tien [25],,W/O
