Round,Player A,Player B,Winner,Participant A score,Participant B score
R128,,C. Alcaraz (1),,,
R128,bye,T. Atmane,T. Atmane,,
R128,G. Dimitrov,J. Cerundolo,,,
R128,B. van de Zandschulp,bye,B. van de Zandschulp,,
R128,A. Rinderknech (26),V. Vacherot (24),,,
R128,bye,N. Borges,N. Borges,,
R128,E. Nava,A. Shevchenko,,,
R128,S. Shimabukuro (Q),bye,S. Shimabukuro (Q),,
R128,C. Ruud (13),A. Bublik (10),,,
R128,bye,M. Zheng (WC),M. Zheng (WC),,
R128,V. Kopriva (LL),F. Maestrelli (Q),,,
R128,R. Hijikata (Q),bye,R. Hijikata (Q),,
R128,L. Darderi (20),C. Norrie (27),,,
R128,bye,M. Arnaldi,M. Arnaldi,,
R128,M. McDonald (Q),S. Korda,,,
R128,F. Comesana,bye,F. Comesana,,
R128,A. de Minaur (6),N. Djokovic (3),,,
R128,bye,K. Majchrzak,K. Majchrzak,,
R128,G. Mpetshi Perricard,H. Hurkacz,,,
R128,A. Kovacevic,bye,A. Kovacevic,,
R128,C. Moutet (31),F. Cerundolo (19),,,
R128,bye,V. Royer,V. Royer,,
R128,B. Bonzi (Q),F. Marozsan,,,
R128,R. Bautista Agut,bye,R. Bautista Agut,,
R128,J. Draper (14),D. Medvedev (11),,,
R128,bye,A. Tabilo,A. Tabilo,,
R128,R. Jodar (WC),C. Tseng (Q),,,
R128,S. Baez,bye,S. Baez,,
R128,J. Lehecka (22),U. Humbert (32),,,
R128,bye,D. Merida (Q),D. Merida (Q),,
R128,A. Michelsen,J. Fearnley,,,
R128,D. Dzumhur,bye,D. Dzumhur,,
R128,T. Fritz (7),L. Musetti (5),,,
R128,bye,M. Fucsovics,M. Fucsovics,,
R128,C. O'Connell (Q),D. Prizmic (Q),,,
R128,T. Schoolkate (Q),bye,T. Schoolkate (Q),,
R128,A. Fils (30),A. Rublev (17),,,
R128,bye,M. Bellucci,M. Bellucci,,
R128,G. Diallo,G. Monfils (WC),,,
R128,A. Galarneau (Q),bye,A. Galarneau (Q),,
R128,F. Auger-Aliassime (9),F. Cobolli (15),,,
R128,bye,D. Altmaier,D. Altmaier,,
R128,M. Kecmanovic,J. Brooksby,,,
R128,A. Popyrin,bye,A. Popyrin,,
R128,F. Tiafoe (21),B. Nakashima (28),,,
R128,bye,C. Ugo Carabelli,C. Ugo Carabelli,,
R128,M. Damm (WC),M. Berrettini,,,
R128,A. Mannarino,bye,A. Mannarino,,
R128,A. Zverev (4),B. Shelton (8),,,
R128,bye,R. Opelka,R. Opelka,,
R128,E. Quinn,Q. Halys,,,
R128,A. Walton,bye,A. Walton,,
R128,L. Tien (25),A. Davidovich Fokina (18),,,
R128,bye,Z. Svajda (WC),Z. Svajda (WC),,
R128,M. Cilic,M. Navone,,,
R128,M. Giron,bye,M. Giron,,
R128,J. Mensik (12),K. Khachanov (16),,,
R128,bye,J. Fonseca,J. Fonseca,,
R128,R. Collignon,Z. Bergs,,,
R128,J. Struff,bye,J. Struff,,
R128,T. Paul (23),T. Etcheverry (29),,,
R128,bye,S. Tsitsipas,S. Tsitsipas,,
R128,D. Shapovalov,D. Svrcina (Q),,,
R128,J. Duckworth,bye,J. Duckworth,,
R64,,T. Atmane,,,
R64,,B. van de Zandschulp,,,
R64,,N. Borges,,,
R64,,S. Shimabukuro (Q),,,
R64,,M. Zheng (WC),,,
R64,,R. Hijikata (Q),,,
R64,,M. Arnaldi,,,
R64,,F. Comesana,,,
R64,,K. Majchrzak,,,
R64,,A. Kovacevic,,,
R64,,V. Royer,,,
R64,,R. Bautista Agut,,,
R64,,A. Tabilo,,,
R64,,S. Baez,,,
R64,,D. Merida (Q),,,
R64,,D. Dzumhur,,,
R64,,M. Fucsovics,,,
R64,,T. Schoolkate (Q),,,
R64,,M. Bellucci,,,
R64,,A. Galarneau (Q),,,
R64,,D. Altmaier,,,
R64,,A. Popyrin,,,
R64,,C. Ugo Carabelli,,,
R64,,A. Mannarino,,,
R64,,R. Opelka,,,
R64,,A. Walton,,,
R64,,Z. Svajda (WC),,,
R64,,M. Giron,,,
R64,,J. Fonseca,,,
R64,,J. Struff,,,
R64,,S. Tsitsipas,,,
R64,,J. Duckworth,,,
